quarter_num,period_progress_pct,pre_timeout_oe_scaled,pre_timeout_fg_pct_scaled,pre_timeout_ts_scaled,run_points_scaled,score_diff_scaled,abs_score_diff_scaled,timeout_pressure_index,critical_moment,team_strength_diff,is_home_team,pre_fg_streak,run_x_quarter,run_x_pressure,critical_run_size,effective
2,47.91666666666667,-0.2951893008941062,1.0328530221817491,0.8385701348920979,-0.6900034896301109,-0.2238230401860399,-1.1088342681759606,18.59000644730964,False,0.09212305611899929,False,0.19314310053038908,1.2,-0.12827169320889914,0,False
3,18.333333333333332,-1.5906655252993502,-0.31973074944427915,-0.6528460758315789,-0.6900034896301109,-0.2238230401860399,-1.1088342681759606,8.845802324370384,False,0.09212305611899929,False,-0.06560240043260712,1.8,-0.06103634472393711,0,False
2,47.083333333333336,-0.766271564314195,0.06672175673458591,-0.4578147251984829,-0.6900034896301109,1.1070457832600809,0.7205172373026447,20.90608576697874,False,0.07023411371237465,True,0.014571671958960475,1.2,-0.14425272133721725,0,False
3,19.305555555555557,-1.355124393589306,0.5819917649730729,0.14257590322104854,-0.6900034896301109,1.905567077327753,1.986991356480141,13.950786268194177,False,0.0025220680958386588,True,0.10106426623405951,1.8,-0.09626091208137816,0,False
4,64.44444444444444,-0.17741873503908404,-0.5656550715581029,-0.22701410724784907,-0.6900034896301109,0.7521474303411152,0.15763985100153538,38.655868736250234,False,0.007716920760398982,True,-0.08893853315900513,2.4,-0.26672684322696166,0,True
1,78.47222222222221,0.5292046600910492,0.7207183056526657,0.39931152758385635,-0.6900034896301109,-0.31254762841578126,-0.9681149216006834,29.028021254372423,False,0.08081113801452788,False,0.12053751158766757,0.6,-0.20029435962574002,0,True
1,92.91666666666667,1.3535986210762045,1.0328530221817491,0.7777825547393794,0.41740951841821605,0.3085244891924084,-0.5459568818748514,41.25358370373633,False,0.08081113801452788,True,0.17822981927997528,0.7,0.17219638506802148,0,True
3,65.13888888888889,0.17589296252598255,0.22130275920613207,0.4104220798408109,0.41740951841821605,-0.2238230401860399,-1.1088342681759606,36.543321708786145,False,-0.07916666666666672,False,0.034397599567392856,2.1,0.15253530315866365,0,True
3,23.055555555555557,-1.0018126960242393,1.0328530221817491,1.1368533770368332,0.41740951841821605,0.219799900962667,-0.6866762284501287,16.233816627594226,False,0.07944514501891553,True,0.18439759956739288,2.1,0.06776149580613734,0,False
2,64.58333333333334,-0.4129598667491284,-0.019156577971828286,-0.3778488860475849,-0.6900034896301109,-0.6674459813347469,-0.405237535299574,27.933225473954558,False,0.12927536231884063,False,-0.0013013439140553418,1.2,-0.19274023053653355,0,False
2,10.13888888888889,-1.8262066570093947,-3.024898292696336,-3.0391120129894618,1.5248225264665431,0.8408720185708566,0.29835919757681273,10.709596107686629,False,-0.0747368421052631,True,-0.5568568994696109,1.6,0.1633023339435898,0,False
2,102.3611111111111,1.4713691869312266,0.10740096791130886,0.11255997948321406,1.5248225264665431,0.7521474303411152,0.15763985100153538,56.387139795848476,False,-0.05718110537387644,True,0.022090468951441733,1.6,0.8598038096372782,0,True
3,86.66666666666667,0.8825163576561157,0.22130275920613207,0.0722324628966666,-0.6900034896301109,0.1310753127329256,-0.8273955750254061,43.26696674768814,False,-0.05718110537387644,True,0.034397599567392856,1.8,-0.29854358041614787,0,True
4,41.66666666666667,-1.0018126960242393,-1.401797766745102,-1.3687258569789438,0.41740951841821605,-0.31254762841578126,-0.9681149216006834,49.95297323419211,True,-0.05718110537387644,False,-0.24348398770445961,2.8,0.20850846501242162,7,False
1,20.694444444444443,-1.1195832618792616,2.3854367938077776,1.7334198613263039,-0.6900034896301109,-0.6674459813347469,-0.405237535299574,1.119387178206819,False,-0.040437158469945333,False,0.4282298192799753,0.6,-0.007723810592099079,0,False
3,51.66666666666667,-0.766271564314195,-1.2214532638616316,-0.8653879811654795,0.41740951841821605,0.3972490774221497,-0.405237535299574,30.890141482396892,False,0.08276533592989288,True,-0.2322690670992738,2.1,0.12893839080037844,0,False
2,39.44444444444444,-0.8840421301692172,0.06672175673458591,-0.3119509419518815,-0.6900034896301109,0.7521474303411152,0.15763985100153538,16.264931602687696,False,0.13070422535211268,True,0.014571671958960475,1.2,-0.11222859564449583,0,False
1,70.83333333333334,0.29366352838100473,0.304538683613888,0.055469173526524355,-0.6900034896301109,0.7521474303411152,0.15763985100153538,26.907537524195824,False,0.09469074986316361,True,0.043614434664590696,0.6,-0.18566294789048274,0,True
3,60.0,-0.8840421301692172,-0.31973074944427915,-0.6528460758315789,-0.6900034896301109,0.8408720185708566,0.29835919757681273,31.678710217208835,False,0.09469074986316361,True,-0.06560240043260712,1.8,-0.21858420596855144,0,True
3,26.944444444444443,-1.355124393589306,-0.31973074944427915,-0.6528460758315789,-0.6900034896301109,0.4859736656518911,-0.26451818872429667,14.390823042294503,False,0.026994906621392145,True,-0.06560240043260712,1.8,-0.09929718117832616,0,False
3,14.444444444444443,-1.5906655252993502,2.3854367938077776,1.7334198613263039,0.41740951841821605,-0.13509845195629852,-1.249553614751238,11.10890764868918,False,0.06673881673881665,False,0.4343975995673929,2.1,0.04636963791791787,0,False
3,45.69444444444444,-0.17741873503908404,-0.019156577971828286,0.19807045989913893,0.41740951841821605,-1.1997935107131952,0.4390785441520901,29.178839981110926,False,0.002199528672427342,False,-0.010046844877051542,2.1,0.121795255445177,0,False
4,48.333333333333336,-0.6485009984591728,0.8396267690923167,0.1682346767388752,-0.6900034896301109,-0.933619746023971,0.01692050442625804,30.429304510280037,False,0.002199528672427342,False,0.1708017265812547,2.4,-0.209963262991105,0,False
